,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
52,Roadster,Men Black Polo Collar Cotton Pure Cotton T-shirt,₹323,₹899,(64% OFF),"[5, 5, 3]","['The package arrived very much before the due date. I am completely satisfied and happy. I would love to order from Myntra. Amidst this pandemic, these people are working so hard to deliver on time. Though I was ready to wait for another week, they surprised me with this! Amazing! It is fitting perfectly for my father (I bought this to gift him - XL Size). He is 5\'6"" The Roadster T-shirt I had ordered is the same, which has arrived! But the \'Kannada"" message I had typed as the gift message is not printed (It is printed as a set of question marks - included in the image). Please provide assistance to print the gift message in other languages too (Other than the English Language). The delivery person was kind and well behaved. 5/5 for delivery 4/5 for the gift card 5/5 for packaging 5/5 for the product', 'The fabric of the T-shirt is really good and the fitting of it is ?. Also, I hve been using Roadster products for quite some time now and this brand never disappointed me. Go for it.', ""Length is somehow short. Fitness ok. Color is totally off. Off black. Way different from what is shown in the ads. Thought of returning it but I'll keep it this time. I was expecting totally black shirt. But to my surprise it was totally off black. This was my first experience and I'm disappointed somehow with the color of the shirt.""]","['Sandesh Banakar I', 'Prashant Shishodia', 'Khanboy Awungshi']","['16 Oct 2020', '23 June 2020', '28 Oct 2020']"
53,NOBERO,Round Neck Short Sleeves Oversized Cotton T-shirt,₹469,₹999,(Rs. 530 OFF),[],[],[],[]
54,Puma,Ess Polo T-shirt,₹679,₹1699,(60% OFF),"[4, 5, 5]","['Value for money. You’re getting good enough quality for the price. The color is true to the photos.', 'Excellent product and I am satisfied with it completely', 'Awesome quality']","['Nayan Bhalotia', 'Myntra Customer', 'Aishwarya']","['18 Oct 2023', '1 Jan 2024', '13 Aug 2023']"
55,Roadster,Solid Polo Collar T-shirt,₹489,₹1499,(Rs. 1010 OFF),"[4, 4, 5]","['I liked the material,loved the fit and also the feel after wearing it. Worth every penny❤️', 'Decent quality T-shirt. Solid black colour, looks nice. Arms and shoulders were a little tight but overall nice fit', 'Very good polo t shirt in that reasonable price . Fabric is of good quality. So comfortable. ?']","['Prathvy Upadhyay', 'Utkarsh Kumar', 'Nikhil Kumar']","['11 Oct 2023', '6 June 2023', '18 May 2023']"
56,Roadster,Men Charcoal Grey & Maroon Striped Polo T-shirt,₹559,₹1399,(60% OFF),"[5, 5, 5]","[""Hi loved the product it's nice But i was very near to be an icon but u guys made me elite again and again to shop to become an icon Don't like this it happened twice to me where in u guys being the people back to elite when they get close to icon Quite sad about it Atleast notify to people to whom ur doing this and why ur doing this"", 'Nice quality, same color as in image, I liked the product for this price range superrrr', 'I feel everything is good about this Tshirt. but the colours what shown in the image.. are a bit dull.. not as bright as the image... The colour shown in the image will only be visible in bright sunlight']","['Samprikta Bhattacharya', 'Shubham Mundra', 'Rohan Dey']","['21 July 2022', '27 June 2020', '28 June 2022']"
57,HRX by Hrithik Roshan,Men Solid High Neck T-shirt,₹599,₹1499,(60% OFF),"[5, 5, 5]","['Very nice and amazing t shirt , sports material and according to price it’s wow', 'Very good and comfortable. My husband loved it.', 'Nice']","['Shweta Mishra', 'Swati', 'Gopal Kumar']","['12 Dec 2023', '3 Jan 2024', '17 Jan 2024']"
58,Kryptic,High Neck Long Sleeves Pure Cotton T-shirt,₹577,₹1699,(66% OFF),"[5, 4, 5]","['Ok', 'You can go for it It is good quality products with high neck that make you more attractive , yep you will not get thick material that is good for me but if you wann a buy for winter then you may required a layering', 'Good product']","['Hitesh Lalwani', 'Aditya Sharma', 'Shahnawaz Khan']","['9 Jan 2024', '20 Oct 2023', '3 Jan 2024']"
59,Bewakoof,Brown Naruto Graphic Printed Drop-Shoulder Sleeves Oversized Cotton T-shirt,₹699,₹1299,(Rs. 600 OFF),[],[],[],[]
60,Campus Sutra,Men Grey Printed Cotton Pure Cotton T-shirt,₹549,₹999,(45% OFF),"[5, 4, 4]","['Superb producted with best quality and look more than the expected one...very happy with shopping on myntra....good service of delivery too on time without any deffects...no words about the product simply awesome', 'Light and comfortable, it is shaped perfectly along the shoulders and chest but is a little too tight in the sleeves; the length is a little longer than other brands of the same size. The product is exactly as shown in the pictures.', 'I like this product but in somewhere in my mind i have a doubt related to its quality but after having it my all doubts were vanished and i felt happy as i m right in choosing the best quality T-shirt and it is a good product in my point of view .......']","['Amal Mandakuriti', 'Vineeth', 'Zaid Khan']","['16 Sept 2020', '18 May 2022', '7 Nov 2020']"
61,Roadster,Men White Pure Cotton T-shirt,₹359,₹651,(Rs. 292 OFF),"[4, 4, 5]","[""Good fit. However the fit isn't what I was expecting. I hoped the fit would be like one pink roadster t shirt i had thats slimer near the waist which makes on look thinner. But this is more of a straight fit"", 'As expected. Quality is good and I am glad to see the Delivery facility. Its awesome.', 'This Is Simply Fantastic. I Tried It With a Roadster Shirt And Comfortable Suit for me.']","['Dhruv', 'Abhijit Pattnaik', 'Biswajit Garnayak']","['8 Aug 2022', '4 Feb 2021', '16 Oct 2023']"
62,Moda Rapido,Typography Printed Pure Cotton T-shirt,₹329,₹999,(67% OFF),[],[],[],[]
63,INVICTUS,Men Yellow Solid Polo T-shirt,₹439,₹1099,(60% OFF),"[5, 4, 5]","[""It's just awesome..thanx Myntra and INVICTUS.."", 'Very good product worth of money value of money just go with it recommend highly thnx mintra', 'very good product, i like it so much']","['Abhishek Kumar Singh', 'Md Mohtesib', 'Kodumuri']","['21 Mar 2023', '20 Dec 2021', '3 Feb 2021']"
